protein,log2_fold_change,infected_vs_control_p.adj
A0A5F9D8U8,0.931737422,0.875
G1SMT7,0.446158525,0.875
G1TRY5,0.459858183,0.875
A0A5F9D1J7,0.442440629,0.876
A0A5F9DDV3,0.596015431,0.876
B7NZN9,-0.922681349,0.876
G1SRH9,-0.666649804,0.876
G1TIH6,1.695734813,0.877
G1TT75,-0.651427619,0.877
A0A5F9CAA7,-0.913092091,0.878
A0A5F9DDG6,0.699200573,0.878
A0A5F9DPD3,0.75258866,0.878
G1SGH2,0.701044352,0.878
G1TGN3,-0.442258957,0.878
A0A5F9CP04,-0.654813029,0.879
G1SDV3,0.888268493,0.879
G1SUP9,-0.512148133,0.879
G1T3D7,0.43182807,0.879
G1U9S7,0.470553061,0.879
A0A5F9DBY0,0.647032,0.88
G1T5X6,0.492429952,0.88
G1TE13,-0.601120075,0.88
G1TVS8,0.867921379,0.88
A0A5F9CX20,0.815751929,0.881
G1SSR8,0.376599744,0.881
G1SZJ4,-0.526765666,0.881
G1T6W7,0.652534184,0.881
Q8MI17,-0.665705173,0.881
A0A5F9CB17,-1.325892581,0.882
A0A5F9CTB0,-1.411500298,0.882
A0A5F9DCR7,0.548651884,0.882
A0A5F9DNN9,1.014376527,0.882
A0A5F9DQB1,0.398767048,0.882
G1SHG0,-0.650762242,0.882
G1T7P3,3.016741734,0.882
G1T845,-0.603685144,0.882
G1TD51,-0.448249697,0.882
G1TXF9,0.566011321,0.882
P98137,-0.665470938,0.882
G1SLJ8,-0.51525837,0.883
G1SWV6,0.412021449,0.883
G1SYQ5,1.293872988,0.883
G1U9P0,0.589292815,0.883
P16258,0.448830601,0.883
G1SE67,0.540665692,0.884
G1SW67,-0.487983363,0.884
A0A5F9DKI8,-0.53240505,0.885
G1SKL7,-0.399202187,0.885
G1SV03,-0.527135418,0.885
G1U4D2,0.816764735,0.885
Q28618,-0.557361969,0.885
A0A5F9D1W2,-0.427281959,0.886
A0A5F9DPQ6,-1.738238099,0.886
G1SHI0,0.418651019,0.886
G1SKF7,-0.482314501,0.886
G1SQ01,-0.431281086,0.886
G1TA53,-0.580483022,0.886
G1TFU9,0.728655709,0.886
P29562,0.468895274,0.886
Q9N0Z6,0.866100172,0.886
A0A5F9D1L3,-0.472596773,0.887
G1T359,-0.575284174,0.887
G1TNZ3,0.98748052,0.887
A0A5F9D2D2,0.590280203,0.888
A0A5F9DSA7,0.710639096,0.888
G1T4H3,-0.396301712,0.888
G1SDA9,2.118402993,0.889
G1SIW1,0.440968199,0.889
G1SPC7,0.826250118,0.889
G1T8S4,0.405077167,0.889
G1TEV5,-0.496639334,0.889
G1U2Z9,0.408724744,0.889
A0A5F9D9G1,0.389328811,0.89
A0A5F9DPE9,0.354514776,0.89
G1T3V0,0.53834871,0.89
G1T7S1,0.429816545,0.89
G1TMC5,2.393868733,0.89
A0A5F9CH78,1.218991551,0.891
A0A5F9CQI6,0.815320956,0.891
G1T519,0.670757415,0.891
G1TM22,0.759992189,0.891
G1SCD7,-0.477363748,0.892
G1SQK1,-0.453184891,0.892
G1TN62,1.51790492,0.892
A0A5F9DH17,-0.946988942,0.893
G1SP54,-0.415751105,0.893
G1SQ22,0.836132125,0.893
G1T0C1,0.709486203,0.893
G1T3W8,2.106814721,0.893
G1TAE2,0.727851835,0.893
Q8SQG9,-0.582637878,0.893
A0A5F9CFF7,-0.512207942,0.894
A0A5F9CPG8,0.982816222,0.894
G1T7Z6,0.344048616,0.894
G1TET2,0.536088719,0.894
G1TP15,0.656039715,0.894
G1TPV3,-0.623303144,0.894
G1U598,-0.509365177,0.894
A0A5F9DRG0,0.483970303,0.895
G1SEJ4,1.14875569,0.895
G1SS22,-0.536884634,0.895
G1ST90,0.455698138,0.895
G1SUU7,0.409981449,0.895
G1T543,0.404343986,0.895
G1TIW6,0.489343186,0.895
G1TU02,0.752196036,0.895
A0A5F9C434,1.479346579,0.896
G1SYA5,-0.325717846,0.896
G1T9M9,0.404909742,0.896
G1U5U0,0.403060245,0.896
A0A5F9DAA7,-0.457896618,0.897
A0A5F9DLB9,0.66219639,0.897
G1SKJ4,0.718775707,0.897
G1TPW2,-0.336887012,0.897
G1U2Q5,-0.62274408,0.897
G1U3I5,-0.335625257,0.897
P80456,1.751720268,0.897
U3KP75,0.346523038,0.897
A0A5F9C2T5,-0.507823649,0.898
G1SFW1,0.436415533,0.898
G1SMV9,0.302947526,0.898
G1STS0,-1.071612257,0.898
G1STY0,0.405342221,0.898
G1SU89,0.333153892,0.898
P00939,-0.453764531,0.898
U3KM06,0.42578436,0.898
A0A5F9C407,-0.437118152,0.899
A0A5F9CPG0,-0.502403942,0.899
A0A5F9CZN0,0.369197853,0.899
G1SYS5,-0.319264755,0.899
G1T6I6,-0.315235152,0.899
G1TLE8,-0.532876888,0.899
G1U487,-1.018176592,0.899
G1U7L4,-0.35411564,0.899
O19048,0.314673775,0.899
A0A5F9C6F5,-0.390929069,0.9
A0A5F9DS44,-0.394809012,0.9
G1SJB4,-0.34881388,0.9
G1SL41,-0.321917918,0.9
G1SNH7,-0.448854488,0.9
G1SRH7,-2.146308152,0.9
G1TJW1,-0.32559298,0.9
A0A5F9C503,-0.307756457,0.901
G1U118,-1.267805492,0.901
G1U6D0,-0.506646221,0.901
A0A5F9CJ08,1.931950628,0.902
A0A5F9DLZ7,0.386225166,0.902
G1SQS1,-0.452799771,0.902
G1T6C1,0.951514549,0.902
Q95KM0,0.463378755,0.902
A0A5F9CAW7,-0.346836734,0.903
A0A5F9DHA9,-0.355673552,0.903
A0A5F9DM66,1.167834988,0.903
G1SWC0,0.331249593,0.903
G1TGK9,-0.390758884,0.903
G1TKT9,-0.433972239,0.903
Q95MF9,1.001749071,0.903
A0A5F9C255,-1.12881944,0.904
G1SDA8,1.32449269,0.904
G1T1F0,0.475863008,0.904
G1TCZ8,0.600359351,0.904
G1TDT6,0.748048031,0.904
P17177,0.410203917,0.904
A0A5F9C0M1,0.403190502,0.905
A0A5F9D3E2,-0.769087145,0.905
G1SCP8,-0.422428176,0.905
G1SDD0,0.367240797,0.905
G1SIJ7,-0.400457558,0.905
G1T6X7,-0.393618317,0.905
G1TS93,1.058111611,0.905
Q08862,0.30161924,0.905
A0A5F9DCT8,-1.706874093,0.906
G1SIV7,0.396350987,0.906
G1SQB1,0.320963148,0.906
G1T0H6,-0.494987187,0.906
G1T332,0.384222552,0.906
G1T347,0.717803547,0.906
G1T970,0.308107034,0.906
P12530,-1.292357586,0.906
P41111,0.606662484,0.906
A0A5F9CFW9,0.543930147,0.907
A0A5F9D9F3,-0.346027254,0.907
A0A5F9DEV8,0.41173852,0.907
A0A5F9DNC5,0.51136893,0.907
G1STJ2,-1.215889194,0.907
G1T432,0.376115961,0.907
A0A5F9CDI4,1.226873327,0.908
A0A5F9CE16,0.378197593,0.908
G1SEM0,0.37932772,0.908
G1SZ03,-0.446457134,0.908
G1TGQ1,-0.44073224,0.908
G1TN19,0.296739766,0.908
G1TY29,1.371680139,0.908
G1U974,0.323085216,0.908
Q08863,0.46480032,0.908
A0A5F9DPC3,0.421744656,0.909
G1SGP1,1.224856389,0.909
G1SGR6,-0.434522111,0.909
G1SN21,-0.323365062,0.909
G1TUX2,-0.256922724,0.909
G1U032,-0.334847373,0.909
A0A5F9DIJ0,0.302541187,0.91
A0A5F9DNE6,-0.485327071,0.91
G1SU01,-0.369980694,0.91
G1SXQ1,0.885468254,0.91
G1T1H2,0.303209627,0.91
G1TCQ2,1.858814897,0.91
G1TKE8,0.516904884,0.91
O46650,0.468250853,0.91
P00181,0.355242122,0.91
A0A5F9CJG4,1.004937116,0.911
A0A5F9D2Q8,-0.307537019,0.911
G1SI29,-0.263485913,0.911
G1T5E6,0.3881208,0.911
G1TXF6,-0.309496541,0.911
P11974,-0.368063709,0.911
P36514,0.327709971,0.911
A0A5F9C4U8,-0.350766029,0.912
A0A5F9D7C1,-0.445973221,0.912
A0A5F9DNV4,-0.280859737,0.912
G1T7Z0,-0.273563496,0.912
G1TCG5,0.276598953,0.912
G1TRW8,1.039750893,0.912
G1TUE0,0.284893601,0.912
G1U7G6,0.465719338,0.912
P10658,-0.33263576,0.912
P11645,0.556134627,0.912
U3KMH9,-0.365235858,0.912
A0A5F9C7D2,0.357285861,0.913
A0A5F9CJM5,-1.194932673,0.913
A0A5F9CTH0,0.719243486,0.913
A0A5F9DG45,0.437502886,0.913
G1SI54,-0.339509818,0.913
G1SP51,0.495231374,0.913
G1T0V1,-0.400353084,0.913
G1TE35,0.266622464,0.913
O19103,-0.416474158,0.913
P08507,0.299286974,0.913
P36513,-0.296969175,0.913
